Periodo,Total_Mensual,Total_Anual,Primarias_Mensual,Primarias_Anual,Secundarias_Mensual,Secundarias_Anual,Terciarias_Mensual,Terciarias_Anual,Mineria_Anual,Energia_agua_gas_Anual,Construccion_Anual,Manufacturas_Anual,Comercio_mayoreo_Anual,Comercio_menudeo_Anual,Transportes_Anual,Servicios_financieros_Anual,Servicios_inmobiliarios_Anual,Servicios_profesionales_Anual,Actividades_gubernamentales_Anual
ago-18,0.31,2.3,0.78,1.13,-0.79,0.27,0.8,3.61,-5.92,3.5,-2.55,2.17,2.75,5.66,2.85,8.01,2.24,5.99,1.65
sep-18,0.1,3.62,-1.67,-1.28,1.09,2.37,-0.11,4.39,0.64,2.63,-1.31,4.3,7.31,4.64,5.24,8.62,1.18,6.32,-0.42
oct-18,-0.13,2.13,-1.78,-4.24,-0.9,0.33,0.03,3.46,-6.17,4.13,-0.28,1.56,4.44,1.2,2.21,9.07,2.62,11.05,5.53
nov-18,-0.52,0.82,8.47,0.45,-1.0,-0.88,-0.58,1.9,-7.84,-0.38,-6.61,1.82,1.51,1.94,1.96,8.39,1.5,2.98,-2.26
dic-18,-0.38,-0.19,0.03,5.78,-0.24,-1.77,-0.59,0.28,-8.08,-0.95,-4.85,0.65,0.78,-1.83,-0.08,7.76,1.6,-1.99,-6.96
ene-19,0.47,1.01,-2.74,0.16,0.14,-0.77,0.96,2.16,-11.64,-6.59,0.63,1.51,1.09,0.82,2.6,10.46,2.83,0.35,-2.13
feb-19,0.4,0.86,7.15,6.88,0.48,-0.71,-0.01,1.41,-8.0,-7.28,-3.92,2.18,-0.84,2.01,1.37,10.1,0.82,-2.06,-2.93
mar-19,-1.3,-1.13,-7.5,0.18,-1.25,-2.04,-1.08,-0.76,-7.58,-5.77,-3.33,-0.42,-4.05,-3.7,-0.27,7.88,1.22,-1.63,-3.57
abr-19,0.45,0.21,0.62,-1.35,1.03,0.37,0.05,0.18,-8.74,-7.38,1.82,2.97,1.24,-1.12,1.02,3.75,0.37,-1.7,-5.54
may-19,-0.41,-0.94,0.04,-1.43,-0.89,-2.22,0.15,-0.1,-10.46,-4.03,-6.0,0.57,-1.84,-1.25,0.1,8.19,1.56,-2.97,-4.87
jun-19,0.5,-0.19,0.6,2.26,0.98,-1.07,0.27,0.18,-5.84,-5.22,-2.69,0.7,-1.44,0.72,0.17,6.47,1.87,-4.29,-6.44
jul-19,-0.21,-0.74,-1.32,1.74,-0.6,-1.96,0.01,-0.12,-4.48,-8.12,-6.93,0.64,-0.24,-2.98,-0.51,0.7,0.61,5.68,-3.63
ago-19,0.11,-0.94,-1.04,-0.1,-0.17,-1.35,0.23,-0.68,-2.93,-4.52,-2.54,-0.26,-2.52,-1.22,0.48,-0.97,0.7,-1.56,-4.99
sep-19,0.43,-0.61,3.04,4.69,-0.08,-2.49,0.6,0.02,-2.94,-4.15,-8.22,-0.41,-4.39,-1.05,0.22,-2.59,2.72,0.27,1.06
oct-19,-1.02,-1.5,-0.45,6.11,-2.07,-3.65,-0.58,-0.59,-2.74,-3.29,-9.95,-2.06,-3.13,-0.1,-0.66,0.23,1.16,-0.43,-13.67
nov-19,0.2,-0.79,-2.33,-4.46,0.41,-2.28,0.32,0.31,1.2,-4.49,-0.27,-3.15,-1.01,-1.57,-2.06,-1.81,3.61,4.44,1.12
dic-19,-0.19,-0.6,1.57,-2.99,-0.8,-2.83,-0.05,0.85,1.18,-2.21,-5.55,-2.97,-5.03,0.77,-0.57,-3.87,1.89,6.66,15.01
ene-20,0.84,-0.23,1.03,0.76,1.24,-1.76,0.63,0.53,6.17,1.43,-9.14,-1.4,1.0,-1.47,2.14,-2.66,0.2,5.6,0.22
feb-20,-0.74,-1.36,-4.24,-9.95,-0.59,-2.81,-0.64,-0.11,3.42,3.94,-10.07,-2.46,-3.9,-1.61,-0.33,-4.13,1.89,1.81,0.62
mar-20,-3.55,-3.62,7.58,4.73,-3.35,-4.87,-4.23,-3.29,2.8,1.78,-8.37,-5.68,-3.68,-1.49,-8.85,-3.03,1.72,-2.08,1.99
abr-20,-18.83,-22.11,-3.29,0.65,-25.26,-29.63,-16.27,-19.07,-3.87,-0.64,-42.03,-32.75,-20.13,-32.14,-39.72,-2.45,-3.12,-0.24,0.56
may-20,-1.9,-23.28,-1.45,-0.84,-0.2,-29.13,-2.57,-21.26,-6.26,-11.58,-38.4,-32.08,-28.23,-31.73,-42.88,-7.2,-2.24,-2.2,1.6
jun-20,11.85,-14.61,-0.51,-1.94,21.66,-14.63,7.95,-15.23,-3.8,-11.37,-26.16,-13.83,-15.44,-17.28,-30.48,-8.23,-1.97,-8.15,2.27
jul-20,5.1,-10.06,8.96,8.28,4.45,-10.29,5.11,-10.91,-1.31,-6.16,-24.06,-8.69,-13.29,-3.4,-24.91,-6.4,-0.36,-3.41,-0.13
ago-20,2.94,-7.52,-5.31,3.6,3.79,-6.73,2.84,-8.59,-1.64,-1.23,-14.98,-5.79,-4.85,-7.48,-21.91,-4.94,0.17,1.62,3.01
sep-20,2.67,-5.45,3.45,4.0,2.44,-4.37,2.75,-6.64,-1.33,-5.32,-14.29,-2.13,-5.7,-6.3,-14.73,-3.06,0.04,-3.34,-0.76
oct-20,1.07,-3.45,0.72,5.22,1.32,-1.06,1.03,-5.12,0.64,-5.04,-8.54,0.99,-3.53,-0.53,-13.28,-5.95,0.8,0.28,4.79
nov-20,0.77,-2.9,-5.7,1.59,0.4,-1.07,1.23,-4.26,-1.87,-9.12,-6.41,1.58,-2.27,0.48,-10.98,-5.24,0.86,-5.83,1.15
dic-20,-0.32,-3.03,-2.06,-2.04,-0.49,-0.76,0.02,-4.19,-1.77,-8.08,-10.12,3.27,1.94,-1.82,-11.8,-4.26,0.77,-1.69,-7.5
ene-21,0.04,-3.8,5.62,2.42,-0.8,-2.76,0.07,-4.73,-4.64,-24.17,-8.74,1.04,0.41,-1.97,-14.86,-5.56,1.41,0.11,-2.96
