Periodo,INPC_Quincenal,INPC_Anual,Subyacente_Quincenal,Subyacente_Anual,No_subyacente_Quincenal,No_subyacente_Anual
Q11-03,-0.02,,0.03,,,
Q12-03,0.09,,0.02,,,
Q13-03,0.09,,0.08,,,
Q14-03,0.03,,0.11,,,
Q15-03,0.18,,0.29,,,
Q16-03,0.21,,0.07,,,
Q17-03,0.47,,0.42,,,
Q18-03,0.04,,0.09,,,
Q19-03,0.28,,0.14,,,
Q20-03,0.13,,0.08,,,
Q21-03,0.69,,0.17,,,
Q22-03,0.15,,0.14,,,
Q23-03,0.22,,0.14,,,
Q24-03,0.26,,0.16,,,
Q01-04,0.33,,0.19,,,
Q02-04,0.32,,0.24,,,
Q03-04,0.32,,0.25,,,
Q04-04,0.23,,0.2,,,
Q05-04,0.18,,0.19,,,
Q06-04,0.07,,0.2,,,
Q07-04,0.0,,0.18,,,
Q08-04,0.23,,0.12,,,
Q09-04,-0.37,,0.11,,,
Q10-04,0.02,,0.13,,,
Q11-04,0.09,,0.16,,,
Q12-04,0.12,,0.1,,,
Q13-04,0.15,,0.08,,,
Q14-04,0.11,,0.09,,,
Q15-04,0.38,,0.17,,,
Q16-04,0.36,,0.15,,,
Q17-04,0.55,,0.46,,,
Q18-04,0.18,,0.12,,,
Q19-04,0.51,,0.17,,,
Q20-04,0.17,,0.13,,,
Q21-04,0.64,,0.13,,,
Q22-04,0.25,,0.1,,,
Q23-04,0.15,,0.18,,,
Q24-04,-0.14,,0.1,,,
Q01-05,0.08,,0.26,,,
Q02-05,-0.02,,0.16,,,
Q03-05,0.17,,0.23,,,
Q04-05,0.34,,0.17,,,
Q05-05,0.2,,0.16,,,
Q06-05,0.16,,0.08,,,
Q07-05,0.08,,0.11,,,
Q08-05,0.4,,0.1,,,
Q09-05,-0.42,,0.09,,,
Q10-05,-0.06,,0.12,,,
Q11-05,-0.15,,0.12,,,
Q12-05,0.16,,0.15,,,
Q13-05,0.28,,0.1,,,
Q14-05,0.06,,0.07,,,
Q15-05,0.07,,0.1,,,
Q16-05,0.03,,0.01,,,
Q17-05,0.36,,0.44,,,
Q18-05,0.06,,0.12,,,
Q19-05,0.19,,0.13,,,
Q20-05,0.06,,0.11,,,
Q21-05,0.67,,0.11,,,
Q22-05,0.05,,0.09,,,
Q23-05,0.42,,0.2,,,
Q24-05,0.35,,0.1,,,
Q01-06,0.32,,0.12,,,
Q02-06,0.18,,0.13,,,
Q03-06,0.07,,0.21,,,
Q04-06,-0.02,,0.12,,,
