Periodo,Personal_ocupado,Remuneraciones_totales,Ingresos_totales,Gastos_consumo_b_y_s,Transporte_correos_Anual,Info_medios_masivos_Anual,Inmobiliarios_alquiler_Anual,Profesionales_cientificos_Anual,Apoyo_negocios_residuos_Anual,Educativos_Anual,Salud_asistencia_Anual,Esparcimiento_culturales_Anual,Alojamiento_alimentos_Anual,Otros_servicios_Anual
feb-24,-0.31,1.91,0.8,2.89,-3.0,4.18,11.12,25.54,0.83,6.88,3.8,32.44,1.71,-1.04
mar-24,0.03,0.05,0.26,-1.32,-0.12,4.99,11.46,22.63,1.0,0.68,2.52,11.41,1.06,4.27
abr-24,0.02,-0.66,0.24,-0.56,4.97,2.04,11.59,30.46,-0.73,5.1,2.78,15.54,0.9,3.89
may-24,-0.12,1.41,-0.3,0.4,0.8,1.49,10.0,24.94,-0.72,6.32,7.08,11.25,-4.39,4.29
jun-24,-0.09,0.03,0.63,-0.81,4.35,3.8,7.98,18.25,-1.73,7.59,1.67,8.82,-3.17,13.69
jul-24,-0.11,-0.53,-0.56,0.48,6.26,4.34,11.74,17.14,-2.11,7.6,2.01,2.28,-4.98,7.38
ago-24,0.18,0.7,0.96,0.74,5.91,3.11,14.41,11.13,-2.65,4.39,3.89,11.15,-4.06,7.48
sep-24,-0.0,1.11,0.19,0.55,5.63,1.54,11.08,16.48,-2.22,6.68,0.99,9.92,-4.9,1.05
oct-24,0.01,0.71,0.61,0.78,8.55,2.64,9.02,16.07,-3.03,7.15,2.7,8.71,-2.57,25.88
nov-24,0.33,1.37,-0.35,0.22,9.85,2.73,10.88,14.57,-3.53,1.47,7.43,12.37,-4.47,-0.39
dic-24,0.17,-1.47,0.21,-3.48,7.69,5.79,10.06,11.28,-1.93,-1.24,4.37,3.74,-4.89,-1.36
ene-25,0.24,1.29,1.9,5.66,7.25,5.69,9.77,2.27,10.99,1.21,5.16,5.55,-3.95,1.3
feb-25,0.16,0.04,0.44,0.84,8.78,3.45,7.11,5.94,11.3,3.53,3.55,-2.48,-3.81,-3.47
