Periodo,Volumen_producción,Personal_ocupado,Horas_trabajadas,Remuneraciones_medias_reales
oct-24,-2.88,-0.19,-0.81,0.55
nov-24,0.37,-0.19,0.43,0.98
dic-24,-1.53,-0.12,-0.78,-0.33
ene-25,0.07,0.19,-0.06,1.0
feb-25,2.29,-0.28,0.7,0.48
mar-25,-1.31,-0.21,-0.68,0.38
abr-25,-0.18,-0.24,0.3,0.93
may-25,1.05,-0.38,-1.09,-0.8
jun-25,2.42,-0.24,0.03,0.21
jul-25,-2.69,-0.18,-0.27,0.57
ago-25,-0.27,-0.53,-0.66,0.64
sep-25,0.8,-0.21,-0.38,-0.91
oct-25,-0.17,-0.1,0.6,1.71
nov-25,0.99,-0.44,-0.64,-0.6
dic-25,-0.11,0.02,-0.12,0.9
ene-26,-2.78,0.25,-0.44,-0.37
feb-26,3.34,-0.33,0.15,0.09
mar-26,-1.09,-0.11,0.05,-0.66
