Periodo,Exportaciones_totales_Mensual,Exportaciones_totales_Anual,Importaciones_totales_Mensual,Importaciones_totales_Anual,Saldo_total_MDD,Saldo_petrolero_MDD,Saldo_no_petrolero_MDD,Export_petroleras_Mensual,Export_petroleras_Anual,Export_no_petroleras_Mensual,Export_no_petroleras_Anual,Export_agropecuarias_Anual,Export_extractivas_Anual,Export_manufacturas_Anual,Export_automotriz_Mensual,Export_automotriz_Anual,Export_resto_manuf_Anual,Import_consumo_Mensual,Import_consumo_Anual,Import_intermedios_Mensual,Import_intermedios_Anual,Import_capital_Mensual,Import_capital_Anual
feb-16,-3.77,-6.34,-0.7,-2.06,-1877.99,-898.33,-979.66,-1.74,-46.79,-3.86,-3.29,19.14,-54.72,-3.17,-8.05,3.33,-6.24,-2.22,-6.46,-0.4,-1.63,-0.92,0.92
mar-16,-1.64,-10.08,-1.44,-6.04,-1910.24,-796.7,-1113.54,10.97,-41.26,-2.16,-7.78,10.0,9.5,-8.63,-6.68,-11.94,-6.93,-1.88,-6.06,-1.57,-5.53,0.13,-9.61
abr-16,3.02,-6.22,3.16,-2.93,-2011.86,-1038.2,-973.66,5.78,-29.51,2.89,-4.7,5.28,2.38,-5.15,6.67,-6.85,-4.26,1.79,-4.85,4.11,-1.73,-2.11,-9.11
may-16,1.32,-2.4,-2.04,-4.58,-958.08,-953.27,-4.81,15.27,-30.33,0.65,-0.19,8.3,-8.11,-0.44,0.21,-3.94,1.43,2.81,-8.35,-3.47,-3.49,2.67,-7.16
jun-16,0.07,-5.82,1.09,-5.89,-1280.01,-964.06,-315.95,-1.3,-26.73,0.14,-4.34,15.51,-38.73,-4.36,-1.3,-6.07,-3.48,-2.16,-11.69,0.61,-5.02,9.0,-4.29
jul-16,2.84,-2.74,1.62,-3.06,-926.56,-1376.74,450.19,0.56,-20.99,2.97,-1.53,9.84,58.3,-2.48,1.45,-6.43,-0.44,7.96,-1.89,1.45,-3.33,-4.96,-2.64
ago-16,-0.81,-1.79,-0.97,-5.79,-868.87,-843.54,-25.33,6.93,-8.42,-1.22,-1.37,12.64,12.54,-2.1,-0.7,-3.57,-1.36,-9.13,-22.48,0.51,-2.55,-0.49,-3.27
sep-16,3.45,2.21,3.27,1.17,-840.59,-1153.76,313.17,6.6,6.65,3.27,1.95,30.41,-4.95,0.88,6.51,3.03,-0.2,6.55,-3.32,2.64,2.27,3.82,-0.65
oct-16,-0.5,-0.34,-2.2,-1.65,-273.28,-1073.75,800.48,1.71,6.55,-0.63,-0.73,15.29,53.69,-1.92,-3.24,-1.28,-2.24,-2.83,-5.04,-1.84,-0.73,-3.99,-3.8
nov-16,2.56,6.34,2.32,1.33,-199.93,-1236.01,1036.08,-9.44,8.93,3.29,6.21,15.78,28.15,5.53,6.8,9.69,3.49,-1.72,-8.56,3.37,3.63,-0.26,-1.83
dic-16,-0.35,10.14,2.1,7.28,-1008.18,-1413.15,404.97,10.56,53.7,-0.93,8.31,12.17,2.33,8.24,1.23,8.41,8.14,5.58,-2.07,1.55,9.4,1.83,5.01
ene-17,0.81,6.96,-0.39,5.74,-611.88,-1335.49,723.61,13.09,73.23,0.08,4.28,-1.89,15.9,4.4,-0.71,0.89,6.34,-0.96,2.53,0.06,6.96,-3.02,0.9
feb-17,0.7,11.94,0.56,7.08,-567.92,-1477.82,909.9,-4.58,68.22,1.06,9.61,-0.23,100.65,9.27,-0.99,8.64,9.59,5.6,10.73,-0.08,7.3,-1.2,0.62
mar-17,-1.06,12.6,0.71,9.42,-1160.78,-1585.28,424.5,-10.56,35.58,-0.45,11.52,13.42,-4.76,11.67,0.41,16.89,9.14,0.16,13.03,0.95,10.05,-0.4,0.09
abr-17,1.2,10.62,-1.2,4.8,-357.67,-1385.77,1028.1,-0.01,28.17,1.27,9.77,11.95,50.95,9.18,0.42,10.05,8.74,-2.73,8.01,-1.8,3.8,5.95,8.34
may-17,-0.47,8.66,2.74,9.91,-1435.77,-1422.25,-13.52,-14.78,-5.24,0.34,9.43,14.47,62.51,8.72,0.89,10.8,7.67,0.7,5.79,3.49,11.29,-0.2,5.31
jun-17,2.99,11.83,0.98,9.8,-782.7,-1268.31,485.61,15.55,10.93,2.39,11.88,4.28,27.02,12.02,5.16,18.05,9.03,2.27,10.57,0.74,11.43,1.09,-2.33
jul-17,-0.52,8.18,-1.05,6.92,-594.4,-1261.15,666.75,6.83,17.84,-0.92,7.67,6.21,12.82,7.66,-2.69,13.23,4.95,0.14,2.56,-1.21,8.5,-1.37,1.35
ago-17,0.92,10.07,3.89,12.16,-1626.32,-1919.32,293.0,-4.02,5.77,1.2,10.31,18.78,20.01,9.79,1.56,15.8,6.84,-0.1,12.75,4.35,12.65,5.8,7.76
sep-17,-0.0,6.39,-1.19,7.31,-1199.76,-1725.33,525.57,4.94,4.12,-0.27,6.52,-7.7,29.91,6.96,1.05,9.87,5.45,4.82,10.93,-1.96,7.6,-3.14,0.54
oct-17,2.19,9.26,2.8,12.8,-1445.25,-1700.37,255.11,15.06,17.79,1.44,8.74,1.94,7.78,9.07,2.39,16.27,5.49,-1.06,12.95,3.73,13.71,1.12,5.9
nov-17,2.94,9.66,-1.35,8.76,77.85,-1588.59,1666.44,13.02,47.01,2.28,7.67,8.74,1.88,7.71,3.67,12.86,5.03,1.38,16.51,-2.1,7.69,0.85,7.07
dic-17,1.2,11.36,5.84,12.75,-1591.26,-1685.36,94.11,8.53,44.32,0.67,9.4,25.9,22.64,8.53,-0.95,10.43,7.51,10.29,21.7,5.45,11.82,2.66,7.94
ene-18,-2.11,8.13,-3.97,8.7,-851.44,-1210.09,358.66,-4.73,21.58,-1.91,7.23,18.99,60.41,6.09,-5.36,5.26,6.52,-8.85,12.01,-3.7,7.63,1.22,12.67
