Periodo,Trimestral,Anual,Primarias_Trimestral,Primarias_Anual,Secundarias_Trimestral,Secundarias_Anual,Terciarias_Trimestral,Terciarias_Anual,Mineria_Anual,Energia_agua_gas_Anual,Construccion_Anual,Manufacturas_Anual,Comercio_mayoreo_Anual,Comercio_menudeo_Anual,Transportes_Anual,Servicios_financieros_Anual,Servicios_inmobiliarios_Anual,Servicios_profesionales_Anual,Actividades_gubernamentales_Anual,Demanda_consumo_privado_Anual,Demanda_consumo_gobierno_Anual,Demanda_FBCF_total_Anual,Demanda_FBCF_privada_Anual,Demanda_FBCF_publica_Anual,Demanda_export_byserv_Anual,Demanda_import_byserv_Anual,Demanda_consumo_privado_Trimestral,Demanda_consumo_gobierno_Trimestral,Demanda_FBCF_total_Trimestral,Demanda_export_byserv_Trimestral,Demanda_import_byserv_Trimestral
T1-95,-4.6362,-0.8,-3.026,-1.79,-5.2694,-3.54,-1.2857,1.03,-1.13,15.21,-25.62,3.53,2.87,1.07,-1.55,19.17,3.46,0.0,-0.75,-1.59,-0.2,-28.99,-31.15,-18.3,31.24,-16.89,-5.82,-0.71,-28.32,20.51,-23.44
T2-95,-5.9155,-8.9,2.6397,-6.2,-9.1622,-14.06,0.7667,-5.26,-0.73,25.4,-36.44,-11.71,-5.83,-9.72,-9.89,12.52,3.28,-5.5,-0.5,-6.81,-1.48,-39.76,-41.56,-26.3,23.12,-18.06,-3.21,-0.64,-12.77,-3.91,2.68
T3-95,2.0169,-7.45,6.2109,10.41,1.9928,-12.45,2.4798,-4.53,1.84,27.94,-33.48,-10.57,-4.47,-8.5,-8.99,-0.11,3.08,-6.89,-0.36,-7.94,-0.32,-37.45,-39.47,-23.83,23.3,-17.43,0.58,0.62,3.49,3.84,2.84
T4-95,2.4107,-6.34,-2.0183,3.58,3.788,-8.91,-8.1328,-5.3,-6.35,22.76,-23.06,-5.66,-7.62,-9.3,-8.68,-9.86,3.2,-5.82,-0.7,-7.63,-1.54,-29.71,-31.34,-22.48,24.24,-17.66,0.73,-0.81,8.63,3.32,1.84
T1-96,2.0135,0.42,2.2051,9.17,5.7451,1.68,15.3985,-0.26,9.48,13.88,6.84,-2.83,4.12,0.56,-0.45,-7.17,3.43,-1.02,-0.68,-0.52,-1.17,2.78,9.37,-24.52,11.07,12.9,1.43,-0.33,4.81,7.74,4.98
T2-96,1.3893,8.05,-1.9078,4.33,1.5225,13.64,0.7466,4.99,9.45,6.57,24.16,13.03,11.48,10.65,7.22,-15.48,3.49,4.92,-1.04,3.15,-0.21,23.47,26.1,8.77,19.06,14.7,0.36,0.32,4.8,3.0,4.32
T3-96,1.506,7.35,0.9535,-0.83,1.7093,13.33,0.2473,4.41,7.07,3.12,26.42,12.03,7.72,8.95,6.8,-8.11,3.55,6.56,-1.15,4.6,-0.13,27.05,30.51,8.64,18.74,18.31,2.0,0.7,6.48,3.56,6.08
T4-96,1.7705,8.28,2.0471,3.28,4.167,13.74,1.7379,5.19,18.57,1.02,15.87,12.18,7.95,9.6,9.01,-6.04,3.46,5.84,-1.25,6.28,1.96,22.72,27.0,4.74,18.88,23.41,2.35,1.27,4.93,3.44,6.22
T1-97,1.8284,6.19,-1.6807,-0.64,0.1973,7.77,1.0108,5.24,3.79,2.31,8.09,9.54,7.58,2.54,9.56,-8.65,2.98,4.41,2.32,6.17,4.45,16.16,15.52,20.35,10.83,20.32,1.33,2.09,-0.79,0.45,2.35
T2-97,1.9802,7.56,1.6317,2.94,2.724,9.05,2.6936,6.66,5.8,-0.05,10.33,10.54,9.37,5.33,11.94,4.07,2.55,5.02,2.35,8.56,5.52,17.84,18.3,15.33,9.04,24.37,2.63,1.35,6.31,1.34,7.84
