Periodo,Total_Mensual,Total_Anual,Maquinaria_y_equipo_Mensual,Maquinaria_y_equipo_Anual,Construcción_Mensual,Construcción_Anual,Construccion_residencial_Anual,Construccion_no_residencial_Anual,Maquinaria_nacional_Anual,Maquinaria_importada_Anual
oct-11,2.08,9.46,1.21,11.89,2.47,7.51,8.48,6.33,14.45,9.9
nov-11,0.81,10.07,-0.43,9.28,2.18,11.22,15.77,7.15,12.2,7.02
dic-11,1.57,10.58,4.02,12.46,-0.21,10.5,13.15,7.98,9.6,15.6
ene-12,-2.05,6.16,1.01,9.4,-4.13,3.88,7.5,1.15,14.99,3.16
feb-12,0.29,9.22,-1.39,12.63,1.57,6.77,7.72,6.12,10.95,14.29
mar-12,-0.82,8.93,-1.69,11.08,-0.25,7.02,10.53,4.79,4.8,17.08
abr-12,2.44,9.98,3.91,13.94,1.57,7.27,4.31,10.14,12.3,14.78
may-12,-0.62,6.33,-2.23,5.63,0.22,6.32,4.29,8.84,10.47,2.62
jun-12,-1.54,0.71,-1.33,2.93,-1.99,-0.88,-8.15,5.53,4.13,3.3
jul-12,3.09,5.22,1.51,5.02,3.64,5.47,8.47,3.39,9.18,0.41
ago-12,-2.28,0.57,-0.59,1.37,-2.68,0.08,0.14,-0.2,-1.01,4.08
sep-12,2.36,5.25,4.31,8.31,1.26,3.41,5.75,0.77,13.76,3.8
oct-12,-2.55,0.48,-3.78,2.98,-1.94,-1.04,-3.36,0.44,-0.16,4.32
nov-12,1.11,0.78,2.45,5.95,0.11,-3.05,-2.55,-3.64,7.55,5.64
dic-12,-3.9,-4.65,-4.96,-3.19,-3.04,-5.8,-14.0,0.29,-3.89,-2.43
ene-13,0.39,-2.28,0.19,-3.97,0.94,-0.81,-3.29,1.26,-8.76,-1.46
feb-13,2.45,-0.16,4.86,2.11,0.58,-1.78,0.83,-4.34,-0.24,4.35
mar-13,-0.69,-0.04,0.79,4.68,-1.84,-3.34,-0.05,-5.63,7.73,2.51
abr-13,-2.99,-5.33,-2.04,-1.31,-3.53,-8.2,-8.92,-7.82,-2.44,-0.97
may-13,1.77,-3.06,-2.36,-1.44,4.04,-4.7,1.39,-8.62,-6.78,2.58
jun-13,-3.43,-4.92,-0.6,-0.71,-4.91,-7.54,-5.22,-9.15,-3.91,1.92
jul-13,2.07,-5.86,1.23,-0.98,2.01,-9.0,-15.55,-2.9,-10.31,5.06
ago-13,-2.07,-5.67,-4.73,-5.11,0.54,-5.99,-7.54,-4.81,-7.66,-2.23
sep-13,-0.21,-8.03,1.36,-7.79,-1.66,-8.7,-9.23,-8.28,-13.5,-1.86
oct-13,0.4,-5.25,-1.28,-5.4,2.34,-4.72,-4.4,-5.12,-8.78,-2.06
nov-13,-1.05,-7.27,-2.04,-9.56,-0.56,-5.36,-9.85,-1.78,-15.65,-3.53
dic-13,3.18,-0.43,5.4,0.31,1.68,-0.76,5.89,-5.34,-3.93,4.22
ene-14,-2.29,-3.09,-1.93,-1.82,-2.87,-4.5,-4.77,-4.24,-2.57,-2.18
feb-14,3.18,-2.4,3.06,-3.51,3.39,-1.83,-1.66,-1.92,-7.6,-0.14
mar-14,0.98,-0.75,1.68,-2.65,0.28,0.28,2.07,-1.48,-5.88,-0.11
abr-14,-0.1,2.2,0.52,-0.1,0.36,4.33,11.37,-1.8,-1.22,0.46
may-14,-0.26,0.17,0.02,2.33,-1.11,-0.83,-1.19,-1.28,1.79,3.7
jun-14,0.52,4.28,-2.51,0.36,2.36,6.75,9.77,4.07,2.94,-1.69
jul-14,-1.52,0.61,1.14,0.27,-2.94,1.57,4.55,-0.78,-1.11,1.52
ago-14,1.25,4.02,0.77,6.06,1.65,2.7,2.09,3.46,5.22,5.99
sep-14,-0.98,3.23,-2.74,1.77,-0.07,4.35,0.98,8.09,0.44,2.53
oct-14,4.67,7.62,5.87,9.15,4.06,6.12,10.09,3.13,13.6,5.68
