Periodo,Personal_ocupado,Remuneraciones_totales,Ingresos_totales,Gastos_consumo_b_y_s,Transporte_correos_Anual,Info_medios_masivos_Anual,Inmobiliarios_alquiler_Anual,Profesionales_cientificos_Anual,Apoyo_negocios_residuos_Anual,Educativos_Anual,Salud_asistencia_Anual,Esparcimiento_culturales_Anual,Alojamiento_alimentos_Anual,Otros_servicios_Anual
jun-13,-0.36,1.03,0.03,-1.22,-5.6,0.04,12.34,0.86,0.68,4.96,5.44,-20.93,10.76,
jul-13,0.3,-0.13,0.32,0.81,-5.88,-0.16,21.69,1.13,6.59,2.04,6.68,-12.39,10.25,
ago-13,0.12,0.04,-0.95,-1.91,-6.53,0.33,9.4,8.66,0.08,2.43,2.15,-4.69,10.57,
sep-13,-0.01,0.19,-0.28,1.78,-5.4,0.53,37.9,-17.71,-2.32,0.88,6.67,-2.84,12.73,
oct-13,0.01,-0.41,-0.55,-0.42,-2.0,-0.02,16.73,-19.63,-1.62,4.62,7.01,-2.72,9.98,
nov-13,-0.09,-0.61,0.32,-0.04,-5.32,-7.99,7.89,-12.81,2.04,6.34,7.38,-2.49,8.22,
dic-13,0.08,0.59,1.41,0.97,-0.71,-4.98,5.25,0.7,-0.69,12.06,9.62,-7.11,9.75,
ene-14,-0.69,-1.4,-1.07,-1.35,0.36,-7.95,22.19,5.71,-0.92,-0.72,2.21,-8.14,0.77,
feb-14,-0.15,-0.13,-0.46,-0.24,-0.8,-1.58,7.66,-3.61,-1.65,0.2,3.88,-5.42,-1.44,
mar-14,-1.29,1.77,2.21,3.22,-0.62,11.94,11.95,-2.4,2.25,-2.98,3.53,-7.75,-3.04,
abr-14,1.49,-1.02,-2.1,1.3,3.87,6.92,2.67,-5.67,-3.57,-1.29,0.97,-7.43,-3.61,
may-14,-0.06,-1.03,0.01,-4.03,1.96,10.39,-1.57,-10.49,-0.01,-3.27,4.27,-3.97,-6.77,
jun-14,-0.34,0.68,-0.41,-6.52,3.17,2.66,13.16,-14.61,2.24,-7.56,3.91,-3.73,-6.45,
jul-14,0.25,0.03,-0.35,5.36,3.38,0.55,12.12,-18.34,0.96,-4.19,3.13,-3.48,-5.47,
ago-14,0.08,-0.96,0.29,0.83,6.5,1.96,-4.07,-15.97,-0.11,-1.75,4.88,-3.46,-4.53,
sep-14,-0.57,0.14,-0.43,-1.1,6.33,-2.43,-3.57,1.99,2.1,-1.86,5.85,-4.29,-7.65,
oct-14,-0.27,-0.86,1.14,1.28,9.15,-0.36,-1.65,5.6,-0.26,-1.43,3.48,-4.18,-5.53,
nov-14,0.23,1.54,0.11,0.69,9.04,-0.61,8.1,-3.21,-1.54,-1.72,5.05,0.6,-3.39,
dic-14,0.1,0.63,1.26,-4.03,5.53,3.11,21.83,4.46,-4.76,-6.27,4.65,-4.67,-3.42,
ene-15,0.68,-0.34,0.91,5.04,4.17,14.53,6.33,-8.64,-0.75,-1.84,1.7,2.29,0.02,
feb-15,1.32,0.66,0.17,0.28,6.31,15.36,4.14,-2.07,-0.38,-3.05,-2.42,-1.61,1.57,
mar-15,-0.81,-1.06,1.18,0.63,5.06,2.3,12.01,2.86,-5.89,2.14,0.69,-0.32,5.11,
abr-15,0.16,-0.04,-0.05,1.96,2.21,2.96,18.73,-1.65,3.27,-0.32,0.17,2.8,6.2,
may-15,-0.01,5.1,0.62,-0.57,4.07,6.62,19.47,-2.93,-0.73,1.36,1.54,4.0,8.03,
jun-15,0.87,-3.03,-0.98,0.36,4.34,12.33,-7.95,7.98,-1.18,1.08,2.29,3.04,6.65,
jul-15,-0.03,-0.47,0.18,0.75,4.38,14.14,-8.05,7.81,-2.09,-1.15,2.3,-1.5,7.24,
ago-15,-0.1,0.59,0.23,-0.11,5.38,13.65,12.84,-0.25,-1.86,-0.73,1.53,4.82,6.58,
sep-15,0.09,0.33,-0.44,-1.34,4.06,16.22,-12.56,4.17,-0.48,1.28,0.33,3.75,6.7,
oct-15,0.47,0.69,-0.03,-0.08,1.64,14.12,-1.28,2.41,-2.94,-0.92,2.09,3.81,7.92,
nov-15,-0.35,-0.1,-0.35,-0.59,-0.39,18.56,-9.5,0.09,-1.5,-1.89,1.52,-2.72,4.55,
dic-15,0.47,-1.41,-0.92,-1.31,1.28,12.17,-19.26,-12.56,-2.06,-1.98,3.53,4.89,5.49,
ene-16,-0.29,1.41,0.57,2.86,3.55,4.49,-12.09,-5.67,-2.58,-0.5,3.27,-4.4,-0.04,
feb-16,-0.13,-0.15,1.21,1.88,10.37,2.19,2.07,3.82,1.86,-0.91,8.2,-1.6,-3.2,
mar-16,-0.05,0.09,-0.08,-1.22,7.16,4.58,-11.09,-4.58,4.8,-3.42,6.39,-3.59,-4.37,
abr-16,-0.12,-0.61,0.98,0.9,6.98,4.26,-14.43,3.5,1.74,-0.37,8.91,0.72,-8.08,
